,0x0,0x4,0x8
3C0C4+0x0,081C7774,081C7974,081C83F0
3C0C4+0xC,081C85A4,081C87A4,081C9114
3C0C4+0x18,081C92DC,081C94DC,081C9D34
3C0C4+0x24,081C9EEC,081CA0EC,081CAA4C
3C0C4+0x30,081CAC08,081CAE08,081CB77C
3C0C4+0x3C,081CB928,081CBB28,081CC360
3C0C4+0x48,081CC4A4,081CC6A4,081CD158
3C0C4+0x54,081CD34C,081CD54C,081CDDB8
3C0C4+0x60,081CDF10,081CE110,081CE920
3C0C4+0x6C,081CEAB8,081CECB8,081CF730
3C0C4+0x78,081CF8E8,081CFAE8,081D0440
3C0C4+0x84,081D05D8,081D07D8,081D1238
3C0C4+0x90,081D141C,081D161C,081D1E78
3C0C4+0x9C,081D1FEC,081D21EC,081D2CA0
3C0C4+0xA8,081D2E90,081D3090,081D3964
3C0C4+0xB4,081D3B08,081D5908,081D58E8
,"*We ONLY care about the second column, for now",,
